"census_tract","med_inc_estimate","med_age_estimate","perc_poverty_estimate","perc_owners","perc_ethnic","counts","residuals"
36047000200,78942,36.4,26.2,22.6628895184136,96.4102564102564,1,-2.69700731392834
36047000501,140795,36.1,6.4,55.4573804573805,95.0586642599278,2,-0.884123969944196
36047000502,169313,36.9,4.3,43.9672801635992,97.7289113193944,3,-0.0295435940388732
36047000700,180515,36.4,6.1,41.2332439678284,96.757272293753,4,0.887589706507372
36047000900,218500,34.9,1.8,27.4261603375527,95.5839867932315,6,2.67348472488007
36047001100,166250,31.6,8.6,10.9026963657679,89.0885750962773,4,0.222525739100583
36047001300,148542,44.9,10.6,78.0117944397641,93.5159817351598,1,-1.26860620106659
36047001501,94323,30.4,15.9,9.96842580063148,68.6708860759494,1,-2.84920068552603
36047001502,130471,30.8,20,16.2888036274852,86.078799249531,3,-0.860616016932504
36047002000,77969,29.3,12.2,20.8020050125313,97.4723538704581,1,-2.77536092003702
36047002200,40708,36.4,25.6,35.7509627727856,94.9337121212121,5,1.53405865603699
36047002901,22943,31.6,47,1.59500693481276,50.9058882737796,1,-3.30491515045534
36047003000,122861,44.4,5.3,55.5702917771883,98.9067894131185,1,-1.60566451510348
36047003300,125778,32,14.1,11.2368633791431,70.7835325365206,6,2.24141799842206
36047003400,103971,43.3,4.6,54.4668587896254,98.0650588895121,1,-1.64747146826829
36047003500,142813,37.5,10.2,22.524101665206,76.1622607110301,3,-0.356318975384075
36047003700,169709,32.7,8.6,16.2587412587413,91.015911872705,6,2.33989301548953
36047003900,136307,35.4,15.1,29.6992481203008,93.5394371779628,8,4.5519008703329
36047004100,214275,33.1,10.9,33.5675253708041,91.4658925979681,2,-1.39406523887495
36047004300,162500,33.9,10.7,24.8132337246531,89.8969072164949,4,0.497104550531375
36047004500,165714,38.3,4.9,39.0625,88.927536231884,4,0.964420567296472
36047004900,160694,41,10,39.4275161588181,88.5523071504051,1,-2.00846746014506
36047005100,167650,36.3,6.2,52.018779342723,97.8905970682874,3,0.0566292655994086
36047005301,166302,43.2,8.4,37.9760609357998,81.5051020408163,2,-0.907421156879068
36047005302,129659,36.3,4.3,0,100,3,-0.786670095833346
36047005400,79370,42.7,7.4,29.3484757919904,96.1657390228819,3,-0.114120105510356
36047005601,72788,42.5,12.6,53.4519572953737,88.8184867685427,2,-0.763412740500633
36047005602,97750,40.3,3.1,59.4535519125683,98.3815028901734,2,-0.645718964052172
36047005800,73483,40.7,6.6,22.7536231884058,100,7,3.70502493829048
36047005900,103578,38.8,11,8.14159292035398,86.2807295796987,2,-1.60414035151383
36047006000,69583,38.4,5.5,32.0704845814978,100,4,0.797601595230457
36047006200,74698,38,18.6,22.1693625118934,98.314400879443,7,3.44574860420481
36047006300,175813,38.5,6.9,26.9857433808554,98.731798966651,1,-2.29733384384434
36047006400,82439,38.6,16.5,32.6230712711242,99.3521790341578,2,-1.33640565438766
36047006500,178041,39.2,2.6,38.7458471760797,99.1612790494496,8,4.97851440282212
36047006600,90074,39.9,19,23.108504398827,96.3541666666667,8,4.52740464756519
36047006700,218393,37.7,4.1,45.045045045045,98.414271555996,2,-0.985055256761676
36047006800,63010,43.4,17.5,25.7269279393173,94.1147256021852,9,5.71783001021097
36047006901,139384,38.8,10.1,35.2300242130751,98.2084690553746,3,-0.193067346570181
36047007000,81755,49,6.9,53.0264279624893,97.8420038535646,2,-0.511790811207832
36047007100,55521,36.5,25.2,22.4310041103934,62.9533678756477,3,-0.544248600482393
36047007200,63352,34.6,25.8,11.1504424778761,97.0374510899944,2,-1.94474535025207
36047007400,70508,34.4,22,24.5148771021992,98.4025559105431,6,2.3167453670761
36047007500,150854,38.5,7.7,38.2676443629698,97.7768543527945,5,1.88225523747428
36047007600,57147,35.1,16.7,22.9444009397024,95.9238017206063,5,1.39796904717045
36047007700,199067,36.5,4.2,40.099198779092,97.7655612697287,6,2.89431036508345
36047007800,66029,32,20.7,18.8471502590674,96.4479440069991,5,1.16891710748459
36047008000,75125,39.9,14.9,33.2344213649852,97.3669309173273,4,0.747612730172384
36047008200,44013,36.9,28.3,13.1263232180663,88.7139807897545,2,-1.83517493666873
36047008400,97232,35,15.1,23.347280334728,96.1112611396165,8,4.42270034419214
36047008800,64741,45.8,9.3,28.9340101522843,80.5755395683453,3,0.0212215095686927
36047009001,44026,34.8,13.4,22.1258134490239,97.7255496588324,1,-2.58734920085549
36047009002,49565,26.9,14.1,8.1447963800905,100,2,-2.10190562248289
36047009201,76688,39.2,24,41.3729128014842,98.3743842364532,2,-1.27148099296773
36047009202,52775,36.6,21.1,14.1652613827993,95.1567749160134,1,-2.75500804863542
36047009402,71375,34.8,17.8,19.5652173913043,97.8550536236594,1,-2.69127782476576
36047009600,75134,38.2,19.8,33.8057742782152,97.3348783314021,3,-0.367556233855028
36047009800,59342,36,24.6,18.0793991416309,97.0477021524142,1,-2.76669551036039
36047010000,64107,35.7,16.6,27.7339346110485,97.8155774395703,2,-1.50921303350342
36047010100,118906,32.5,13.2,30.7994757536042,95.768526989936,4,0.4902563837008
36047010401,54250,40.5,27.2,24.3243243243243,96.8586387434555,1,-2.54823325466278
36047010802,59145,40.5,32.9,13.6012364760433,98.2011447260834,1,-2.81032324539175
36047011200,52172,33.2,25.9,20.061099796334,98.4906286282966,2,-1.85150909425616
36047011400,67955,32.3,30.8,25.5787037037037,87.461139896373,4,0.187729145065024
36047011700,118393,37.2,12.1,38.1786339754816,94.0745672436751,2,-1.20825060185779
36047011901,134167,39.5,10.1,37.3287671232877,95.4577218728162,4,0.876517447499406
36047012000,69030,32.4,18.9,42.1221864951768,100,3,-0.422375758587505
36047012100,114552,35.6,9.6,38.849765258216,93.2923707117256,4,0.787312851018879
36047012200,54038,32.3,27.7,19.7283311772316,98.5722554505113,3,-0.912392551861716
36047012600,58643,35.4,25.3,31.5136476426799,98.2732732732733,2,-1.57923581722592
36047012700,117627,36.5,14.1,17.9471788715486,71.4994775339603,2,-1.50013482176888
36047012801,65313,39.2,24.1,30.0261096605744,99.8076923076923,1,-2.46661718907239
36047012901,232530,32.1,6.1,44.578313253012,88.2172915072686,2,-1.16517106160107
36047012902,148438,32,10.9,17.3418621179815,85.2094240837696,8,4.32672228410234
36047013000,80246,35.4,12,19.7084548104956,95.3323903818953,5,1.42208059923641
36047013100,134479,36.3,7.8,37.3951928451649,84.361910080983,6,2.84879990865687
36047013200,93750,40.7,19.5,51.3966480446927,97.0161290322581,1,-1.9874120902161
36047013300,213227,36,2.3,39.689578713969,96.0814700022138,3,-0.0958143217994474
36047013400,108654,33.5,10.8,30.7971014492754,97.8125719548699,2,-1.45160051103837
36047013500,210667,37.8,2.8,51.593625498008,95.3074027603513,3,0.157629514046432
36047013600,104191,39.6,8.5,45.668233713902,99.169393405487,4,1.02459229760446
36047013700,158594,35.3,6,29.1386271870794,90.7944884198182,2,-1.32309500558499
36047013800,93117,34.9,8.3,24.1835147744946,97.9564032697548,9,5.51980425248601
36047013900,163125,35.4,3.6,25.4285714285714,88.5404454865182,7,3.66152015733949
36047014000,55250,47.8,18.2,51.890482398957,98.3615510649918,4,1.27044973038389
36047014101,142750,35,12,33.8266384778013,94.8217317487267,1,-2.35551747409362
36047014102,127768,38.9,3.8,40.5535499398315,99.1689750692521,3,-0.0182675449390384
36047014200,80476,34.6,13.6,31.2403100775194,95.3661327231121,3,-0.436140707405479
36047014300,122344,35.8,10.2,22.8105906313646,93.6630602782071,7,3.51869994132539
36047014500,112596,34.9,5.3,21.8832193582325,97.0231280054958,5,1.52722522253704
36047014700,133194,32.7,9.6,45.7309941520468,99.0016638935108,1,-2.21950797268756
36047014800,71250,48.2,13.4,65.661252900232,100,2,-0.428556328482049
36047014901,143859,33.8,6.7,43.5897435897436,97.5060827250608,1,-2.17173917367014
36047014902,142625,37.3,7.8,29.9785867237687,99.766081871345,4,0.69530396138962
36047015100,192411,37.9,2.4,50.7918552036199,98.9877078814172,5,2.13791670545862
36047015300,138182,38.9,6.8,36.2976406533575,96.7485822306238,4,0.879784945934693
36047015500,215583,39.3,4.3,58.2365003417635,96.1007311129163,1,-1.7064159518389
36047015700,186686,36.9,0.3,42.2509225092251,91.1128903122498,3,0.0250831037752117
36047015900,203936,38.9,5.9,54.4354838709677,93.9029051987768,5,2.20428358444788
36047016000,96411,37,8.9,17.3740803621958,95.3943080599609,12,8.47964692201703
36047016100,168594,38.8,1.9,39.1163092917479,91.5526950925181,5,2.01268348960327
36047016200,87446,43.8,16.7,39.9290150842946,94.8885976408912,1,-2.02590331396322
36047016300,145481,34.9,7.5,34.7230154197601,83.2917082917083,3,-0.233588433163144
36047016700,207095,43.2,3.9,42.3913043478261,98.6753574432296,2,-0.843487328578043
36047016900,155873,38.3,11,36.6197183098592,99.2369121561668,4,0.796456896304046
36047017000,98095,43,14.2,56.0521415270019,97.6002341235002,2,-0.762446556085453
36047017100,158269,39.5,2.4,39.4124847001224,99.7190353547179,5,2.00002161852625
36047017200,127188,39.9,2.1,46.1460446247465,98.3214977404777,5,2.13480484598144
36047017400,101701,40.4,11.1,61.2859097127223,100,2,-0.729730671190567
36047017800,73417,38.4,9.1,36.4692218350755,98.9331436699858,2,-1.1750794359949
36047018000,62637,39.6,12.4,37.8256963162624,100,3,-0.162734637154155
36047018100,164904,36.3,5.4,22.1732745961821,85.4347287589794,4,0.625703292407548
36047018200,66083,37.8,9.8,49.543795620438,100,4,1.00708924041876
36047018300,182401,34.7,4.9,29.6669248644462,90.6603429405327,1,-2.31859068790153
36047018501,46723,35.2,20.9,11.40642303433,43.9991651012315,1,-2.63154378399756
